rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec,con
3029,Kepler-815,b,19h00m53.07s,19.014740666666672,+47d52m53.0s,47.881382,DRA
3030,Kepler-816,b,19h33m27.08s,19.5575228,+39d12m44.8s,39.212452,CYG
3031,Kepler-817,b,19h44m19.65s,19.7387904,+39d09m41.8s,39.161617,CYG
3032,Kepler-818,b,19h44m56.43s,19.749007,+39d22m13.2s,39.370343,CYG
3033,Kepler-819,b,19h41m28.99s,19.691386466666668,+39d10m38.0s,39.177217999999996,CYG
3034,Kepler-82,b,19h31m29.61s,19.524892666666666,+42d57m58.1s,42.966136999999996,CYG
3035,Kepler-82,c,19h31m29.61s,19.524892666666666,+42d57m58.1s,42.966136999999996,CYG
3036,Kepler-82,d,19h31m29.61s,19.524892666666666,+42d57m58.1s,42.966136999999996,CYG
3037,Kepler-82,e,19h31m29.61s,19.524892666666666,+42d57m58.1s,42.966136999999996,CYG
3038,Kepler-820,b,19h24m04.83s,19.401343,+39d13m14.4s,39.220678,LYR
3039,Kepler-821,b,19h02m28.18s,19.041162466666666,+39d22m46.3s,39.379529999999995,LYR
3040,Kepler-822,b,19h29m06.27s,19.48507453333333,+39d33m00.6s,39.550179,CYG
3041,Kepler-823,b,18h58m19.82s,18.9721718,+39d13m12.7s,39.220203999999995,LYR
3042,Kepler-824,b,19h21m54.58s,19.3651608,+39d43m55.2s,39.73200900000001,LYR
3043,Kepler-825,b,19h39m04.78s,19.6513272,+39d23m54.7s,39.398514,CYG
3044,Kepler-825,c,19h39m04.78s,19.6513272,+39d23m54.7s,39.398514,CYG
3045,Kepler-826,b,18h59m26.43s,18.99067593333333,+39d14m26.0s,39.240548,LYR
3046,Kepler-827,b,19h39m51.85s,19.664403066666665,+42d42m30.8s,42.708569,CYG
3047,Kepler-828,b,19h07m32.95s,19.125818333333328,+42d28m16.5s,42.471256,LYR
3048,Kepler-829,b,18h49m19.87s,18.8221862,+42d27m49.8s,42.463825,LYR
3049,Kepler-83,b,18h48m55.81s,18.815501666666666,+43d39m56.3s,43.665627,LYR
3050,Kepler-83,c,18h48m55.81s,18.815501666666666,+43d39m56.3s,43.665627,LYR
3051,Kepler-83,d,18h48m55.81s,18.815501666666666,+43d39m56.3s,43.665627,LYR
3052,Kepler-830,b,19h40m13.03s,19.670285733333333,+42d45m24.6s,42.756847,CYG
3053,Kepler-831,b,19h39m56.52s,19.6656994,+42d43m39.6s,42.727669,CYG
3054,Kepler-832,b,19h43m42.26s,19.728406266666664,+45d23m01.9s,45.383862,CYG
3055,Kepler-833,b,19h21m55.19s,19.365330266666668,+45d36m02.5s,45.6007,CYG
3056,Kepler-834,b,19h08m13.08s,19.136967733333336,+45d10m49.3s,45.180374,LYR
3057,Kepler-835,b,18h54m17.82s,18.904948866666665,+45d44m05.3s,45.734802,LYR
3058,Kepler-836,b,19h09m48.67s,19.163518533333328,+45d42m15.8s,45.704399,LYR
3059,Kepler-837,b,19h00m59.20s,19.016444666666665,+45d57m00.7s,45.950195,LYR
3060,Kepler-838,b,19h01m44.52s,19.029034133333333,+45d58m33.7s,45.976021,LYR
3061,Kepler-839,b,19h24m17.92s,19.404978399999997,+45d14m33.3s,45.242584,CYG
3062,Kepler-84,b,19h53m00.49s,19.883469933333334,+40d29m45.9s,40.496077,CYG
3063,Kepler-84,c,19h53m00.49s,19.883469933333334,+40d29m45.9s,40.496077,CYG
3064,Kepler-84,d,19h53m00.49s,19.883469933333334,+40d29m45.9s,40.496077,CYG
3065,Kepler-84,e,19h53m00.49s,19.883469933333334,+40d29m45.9s,40.496077,CYG
3066,Kepler-84,f,19h53m00.49s,19.883469933333334,+40d29m45.9s,40.496077,CYG
3067,Kepler-840,b,19h46m01.77s,19.767159600000006,+49d27m26.2s,49.457291,CYG
3068,Kepler-841,b,18h57m00.31s,18.950087066666665,+48d48m34.6s,48.809612,DRA
3069,Kepler-842,b,19h29m18.86s,19.488572066666666,+49d39m12.7s,49.653538,CYG
3070,Kepler-843,b,19h45m17.28s,19.754799600000002,+48d58m17.3s,48.97147800000001,CYG
3071,Kepler-844,b,19h11m25.85s,19.190515266666665,+48d46m26.8s,48.774113,CYG
3072,Kepler-845,b,19h23m49.82s,19.397171,+49d12m13.7s,49.203812,CYG
3073,Kepler-846,b,19h08m13.68s,19.1371344,+49d02m45.7s,49.046021,DRA
3074,Kepler-847,b,18h54m01.15s,18.900319866666667,+49d27m03.7s,49.45101500000001,DRA
3075,Kepler-848,b,19h33m09.19s,19.55255153333333,+48d48m41.8s,48.811619,CYG
3076,Kepler-849,b,19h23m24.43s,19.3901186,+48d31m16.8s,48.52133900000001,CYG
3077,Kepler-85,b,19h23m53.62s,19.398228600000003,+45d17m25.1s,45.290318,CYG
3078,Kepler-85,c,19h23m53.62s,19.398228600000003,+45d17m25.1s,45.290318,CYG
3079,Kepler-85,d,19h23m53.62s,19.398228600000003,+45d17m25.1s,45.290318,CYG
3080,Kepler-85,e,19h23m53.62s,19.398228600000003,+45d17m25.1s,45.290318,CYG
3081,Kepler-850,b,19h32m20.27s,19.538964133333334,+48d34m31.4s,48.57539000000001,CYG
3082,Kepler-851,b,19h38m43.27s,19.645352399999997,+49d08m24.6s,49.140159999999995,CYG
3083,Kepler-852,b,19h49m33.98s,19.8261062,+48d33m38.5s,48.560691999999996,CYG
3084,Kepler-853,b,18h55m44.84s,18.9291216,+49d06m37.2s,49.110325,DRA
3085,Kepler-854,b,19h33m24.31s,19.556752866666667,+43d08m04.7s,43.13464000000001,CYG
3086,Kepler-855,b,19h40m22.80s,19.672999333333333,+43d32m15.3s,43.537586,CYG
3087,Kepler-856,b,19h18m24.92s,19.3069224,+46d18m53.8s,46.314953,CYG
3088,Kepler-857,b,19h38m31.77s,19.642159266666667,+43d24m01.7s,43.400467,CYG
3089,Kepler-858,b,19h15m23.67s,19.2565754,+51d12m32.6s,51.209049,CYG
3090,Kepler-859,b,19h06m58.05s,19.116124866666667,+43d11m24.4s,43.190108,LYR
3091,Kepler-860,b,19h42m18.54s,19.705151,+46d15m17.1s,46.254742,CYG
3092,Kepler-861,b,19h29m24.94s,19.490261933333333,+46d13m34.6s,46.226279999999996,CYG
3093,Kepler-862,b,19h51m07.02s,19.851951066666672,+46d29m33.9s,46.492740999999995,CYG
3094,Kepler-863,b,19h50m39.49s,19.844301533333333,+43d14m56.3s,43.248962,CYG
3095,Kepler-864,b,19h00m13.70s,19.003806133333327,+46d19m14.4s,46.320675,LYR
3096,Kepler-865,b,19h50m53.83s,19.84828553333333,+43d31m38.8s,43.527435,CYG
3097,Kepler-866,b,19h20m29.36s,19.341489133333333,+43d05m08.0s,43.08556,LYR
3098,Kepler-867,b,19h09m08.48s,19.152354199999998,+51d14m59.9s,51.249981,CYG
3099,Kepler-868,b,18h49m27.24s,18.824234133333334,+46d40m30.9s,46.67524,LYR
3100,Kepler-869,b,19h17m41.90s,19.294972733333328,+50d59m38.8s,50.994122,CYG
3101,Kepler-87,b,19h51m40.05s,19.861125133333328,+46d57m54.5s,46.96513,CYG
3102,Kepler-87,c,19h51m40.05s,19.861125133333328,+46d57m54.5s,46.96513,CYG
3103,Kepler-870,b,19h41m36.61s,19.693502933333328,+50d28m43.1s,50.478634,CYG
3104,Kepler-871,b,19h38m06.51s,19.635140666666665,+43d22m05.4s,43.368159999999996,CYG
3105,Kepler-872,b,19h41m40.19s,19.6944974,+43d36m20.3s,43.60564,CYG
3106,Kepler-873,b,19h45m36.77s,19.760214133333328,+51d16m16.8s,51.27133900000001,CYG
3107,Kepler-874,b,19h39m49.65s,19.663790666666667,+43d00m51.6s,43.014328000000006,CYG
3108,Kepler-875,b,19h49m12.31s,19.820086666666672,+43d08m30.8s,43.141888,CYG
3109,Kepler-876,b,18h53m54.77s,18.898546600000003,+43d23m01.6s,43.383781,LYR
3110,Kepler-877,b,19h19m26.19s,19.323941933333334,+46d31m21.6s,46.522667,CYG
3111,Kepler-878,b,19h01m11.09s,19.019746466666668,+46d36m12.4s,46.603439,LYR
3112,Kepler-879,b,19h43m13.58s,19.7204382,+50d54m35.3s,50.909797999999995,CYG
3113,Kepler-880,b,18h47m53.10s,18.798083,+43d40m22.0s,43.672771000000004,LYR
3114,Kepler-881,b,19h15m58.22s,19.26617253333333,+46d40m14.7s,46.67075300000001,CYG
3115,Kepler-882,b,19h38m35.97s,19.643325666666666,+43d20m08.1s,43.335587,CYG
3116,Kepler-883,b,19h05m44.08s,19.0955782,+50d18m01.2s,50.300327,DRA
3117,Kepler-884,b,19h30m20.27s,19.505629533333334,+49d55m23.4s,49.923161,CYG
3118,Kepler-885,b,19h14m38.77s,19.244103933333328,+49d44m13.9s,49.737206,CYG
3119,Kepler-886,b,19h05m05.22s,19.084783,+43d35m42.8s,43.59523400000001,LYR
3120,Kepler-887,b,19h20m21.79s,19.33938713333333,+39d49m01.2s,39.816989,LYR
3121,Kepler-887,c,19h20m21.79s,19.33938713333333,+39d49m01.2s,39.816989,LYR
3122,Kepler-888,b,19h42m05.09s,19.70141373333333,+49d44m19.1s,49.738632,CYG
3123,Kepler-889,b,19h25m52.16s,19.4311546,+50d45m34.2s,50.759489,CYG
3124,Kepler-890,b,19h13m44.58s,19.229049666666665,+43d45m48.6s,43.763496,LYR
3125,Kepler-891,b,19h24m20.11s,19.405586466666666,+40d21m18.9s,40.355255,LYR
3126,Kepler-892,b,18h52m31.11s,18.8753094,+43d53m17.7s,43.888241,LYR
3127,Kepler-893,b,18h59m51.13s,18.9975354,+43d54m46.8s,43.913006,LYR
3128,Kepler-894,b,19h14m56.18s,19.2489392,+46d56m21.8s,46.939396,CYG
3129,Kepler-895,b,19h17m09.76s,19.286043533333327,+51d24m32.0s,51.408891,CYG
3130,Kepler-896,b,18h49m45.40s,18.8292788,+43d44m04.1s,43.734486,LYR
3131,Kepler-897,b,19h22m20.84s,19.3724558,+51d41m45.0s,51.69582,CYG
3132,Kepler-898,b,19h06m20.49s,19.1056926,+46d52m15.3s,46.87093,LYR
3133,Kepler-899,b,19h49m55.82s,19.832172,+40d40m50.8s,40.68078,CYG
3134,Kepler-9,b,19h02m17.76s,19.0382654,+38d24m03.2s,38.400892,LYR
3135,Kepler-9,c,19h02m17.76s,19.0382654,+38d24m03.2s,38.400892,LYR
3136,Kepler-9,d,19h02m17.76s,19.0382654,+38d24m03.2s,38.400892,LYR
3137,Kepler-900,b,19h44m42.55s,19.74515313333333,+46d59m56.5s,46.99902,CYG
3138,Kepler-901,b,19h24m36.71s,19.410196733333333,+40d53m15.0s,40.887496999999996,LYR
3139,Kepler-902,b,19h18m55.61s,19.315446133333328,+46d57m13.8s,46.953823,CYG
3140,Kepler-903,b,19h15m05.04s,19.2514012,+40d39m51.0s,40.664176,LYR
3141,Kepler-903,c,19h15m05.04s,19.2514012,+40d39m51.0s,40.664176,LYR
3142,Kepler-904,b,19h15m17.50s,19.254861066666667,+40d23m20.6s,40.389049,LYR
3143,Kepler-905,b,19h20m12.27s,19.336741533333328,+46d42m48.1s,46.713375,CYG
3144,Kepler-906,b,19h25m37.33s,19.4270374,+40d07m31.8s,40.125487,LYR
3145,Kepler-907,b,19h01m54.38s,19.031772600000004,+41d37m57.9s,41.63274000000001,LYR
3146,Kepler-908,b,19h41m17.40s,19.6881678,+39d22m35.3s,39.37648400000001,CYG
3147,Kepler-909,b,19h18m01.53s,19.300423866666673,+45d22m15.6s,45.370998,CYG
3148,Kepler-91,b,19h02m41.49s,19.044858133333328,+44d07m00.2s,44.116734,LYR
3149,Kepler-910,b,19h44m11.37s,19.736490533333328,+42d44m34.8s,42.743006,CYG
3150,Kepler-911,b,19h54m21.40s,19.905945733333333,+40d45m02.5s,40.750689,CYG
3151,Kepler-912,b,19h52m26.69s,19.874080399999997,+41d45m30.0s,41.758333,CYG
3152,Kepler-913,b,19h50m19.95s,19.838874800000006,+41d57m08.8s,41.952431,CYG
3153,Kepler-914,b,19h21m38.88s,19.360800066666666,+44d53m57.6s,44.89933,CYG
3154,Kepler-915,b,19h22m22.10s,19.372805133333333,+45d44m13.7s,45.737137,CYG
