pl_hostname,pl_letter,con
Kepler-200,b,LYR
Kepler-200,c,LYR
Kepler-202,b,LYR
Kepler-202,c,LYR
Kepler-204,b,LYR
Kepler-204,c,LYR
Kepler-205,b,LYR
Kepler-205,c,LYR
Kepler-206,b,LYR
Kepler-206,c,LYR
Kepler-206,d,LYR
Kepler-207,b,LYR
Kepler-207,c,LYR
Kepler-207,d,LYR
Kepler-209,b,LYR
Kepler-209,c,LYR
Kepler-21,b,LYR
Kepler-211,b,LYR
Kepler-211,c,LYR
Kepler-212,b,LYR
Kepler-212,c,LYR
Kepler-214,b,LYR
Kepler-214,c,LYR
Kepler-222,b,LYR
Kepler-222,c,LYR
Kepler-222,d,LYR
Kepler-234,b,LYR
Kepler-234,c,LYR
Kepler-235,b,LYR
Kepler-235,c,LYR
Kepler-235,d,LYR
Kepler-235,e,LYR
Kepler-236,b,LYR
Kepler-236,c,LYR
Kepler-237,b,LYR
Kepler-237,c,LYR
Kepler-238,b,LYR
Kepler-238,c,LYR
Kepler-238,d,LYR
Kepler-238,e,LYR
Kepler-238,f,LYR
Kepler-24,b,LYR
Kepler-24,c,LYR
Kepler-24,d,LYR
Kepler-24,e,LYR
Kepler-240,b,LYR
Kepler-240,c,LYR
Kepler-242,b,LYR
Kepler-242,c,LYR
Kepler-243,b,LYR
Kepler-243,c,LYR
Kepler-244,b,LYR
Kepler-244,c,LYR
Kepler-244,d,LYR
Kepler-245,b,LYR
Kepler-245,c,LYR
Kepler-245,d,LYR
Kepler-245,e,LYR
Kepler-247,b,LYR
Kepler-247,c,LYR
Kepler-247,d,LYR
Kepler-25,b,LYR
Kepler-25,c,LYR
Kepler-25,d,LYR
Kepler-254,b,LYR
Kepler-254,c,LYR
Kepler-254,d,LYR
Kepler-259,b,LYR
Kepler-259,c,LYR
Kepler-26,b,LYR
Kepler-26,c,LYR
Kepler-26,d,LYR
Kepler-26,e,LYR
Kepler-260,b,LYR
Kepler-260,c,LYR
Kepler-261,b,LYR
Kepler-261,c,LYR
Kepler-262,b,LYR
Kepler-262,c,LYR
Kepler-264,b,LYR
Kepler-264,c,LYR
Kepler-265,b,LYR
Kepler-265,c,LYR
Kepler-265,d,LYR
Kepler-265,e,LYR
Kepler-268,b,LYR
Kepler-268,c,LYR
Kepler-269,b,LYR
Kepler-269,c,LYR
Kepler-270,b,LYR
Kepler-270,c,LYR
Kepler-271,b,LYR
Kepler-271,c,LYR
Kepler-271,d,LYR
Kepler-277,b,LYR
Kepler-277,c,LYR
Kepler-278,b,LYR
Kepler-278,c,LYR
Kepler-279,b,LYR
Kepler-279,c,LYR
Kepler-279,d,LYR
Kepler-280,b,LYR
Kepler-280,c,LYR
Kepler-282,b,LYR
Kepler-282,c,LYR
Kepler-282,d,LYR
Kepler-282,e,LYR
Kepler-288,b,LYR
Kepler-288,c,LYR
Kepler-288,d,LYR
Kepler-290,b,LYR
Kepler-290,c,LYR
Kepler-291,b,LYR
Kepler-291,c,LYR
Kepler-293,b,LYR
Kepler-293,c,LYR
Kepler-294,b,LYR
Kepler-294,c,LYR
Kepler-295,b,LYR
Kepler-295,c,LYR
Kepler-295,d,LYR
Kepler-30,b,LYR
Kepler-30,c,LYR
Kepler-30,d,LYR
Kepler-303,b,LYR
Kepler-303,c,LYR
Kepler-306,b,LYR
Kepler-306,c,LYR
Kepler-306,d,LYR
Kepler-306,e,LYR
Kepler-311,b,LYR
Kepler-311,c,LYR
Kepler-319,b,LYR
Kepler-319,c,LYR
Kepler-319,d,LYR
Kepler-322,b,LYR
Kepler-322,c,LYR
Kepler-323,b,LYR
Kepler-323,c,LYR
Kepler-330,b,CYG+LYR
Kepler-330,c,CYG+LYR
Kepler-331,b,LYR
Kepler-331,c,LYR
Kepler-331,d,LYR
Kepler-332,b,LYR
Kepler-332,c,LYR
Kepler-332,d,LYR
Kepler-334,b,LYR
Kepler-334,c,LYR
Kepler-334,d,LYR
Kepler-336,b,LYR
Kepler-336,c,LYR
Kepler-336,d,LYR
Kepler-338,b,LYR
Kepler-338,c,LYR
Kepler-338,d,LYR
Kepler-338,e,LYR
Kepler-341,b,LYR
Kepler-341,c,LYR
Kepler-341,d,LYR
Kepler-341,e,LYR
Kepler-343,b,LYR
Kepler-343,c,LYR
Kepler-346,b,LYR
Kepler-346,c,LYR
Kepler-350,b,LYR
Kepler-350,c,LYR
Kepler-350,d,LYR
Kepler-351,b,LYR
Kepler-351,c,LYR
Kepler-351,d,LYR
Kepler-354,b,LYR
Kepler-354,c,LYR
