pl_hostname,pl_letter,con
Kepler-1557,b,CYG
Kepler-1559,b,CYG
Kepler-1560,b,CYG
Kepler-1561,b,CYG
Kepler-1562,b,CYG
Kepler-1563,b,CYG
Kepler-1564,b,CYG
Kepler-1565,b,CYG
Kepler-1568,b,CYG
Kepler-1569,b,CYG
Kepler-1570,b,CYG
Kepler-1571,b,CYG
Kepler-1573,b,CYG
Kepler-1574,b,CYG
Kepler-1575,b,CYG
Kepler-1577,b,CYG
Kepler-1578,b,CYG
Kepler-1579,b,CYG
Kepler-1585,b,CYG
Kepler-1586,b,CYG
Kepler-1587,b,CYG
Kepler-1588,b,CYG
Kepler-1589,b,CYG
Kepler-159,b,CYG
Kepler-159,c,CYG
Kepler-1590,b,CYG
Kepler-1591,b,CYG
Kepler-1592,b,CYG
Kepler-1593,b,CYG
Kepler-1594,b,CYG
Kepler-1598,b,CYG
Kepler-16,b,CYG
Kepler-1602,b,CYG
Kepler-1603,b,CYG
Kepler-1607,b,CYG
Kepler-1608,b,CYG
Kepler-1610,b,CYG
Kepler-1611,b,CYG
Kepler-1612,b,CYG
Kepler-1618,b,CYG
Kepler-162,b,CYG
Kepler-162,c,CYG
Kepler-1620,b,CYG
Kepler-1621,b,CYG
Kepler-1622,b,CYG
Kepler-1623,b,CYG
Kepler-1624,b,CYG
Kepler-1625,b,CYG
Kepler-1626,b,CYG
Kepler-163,b,CYG
Kepler-163,c,CYG
Kepler-1630,b,CYG
Kepler-1631,b,CYG
Kepler-1632,b,CYG
Kepler-1633,b,CYG
Kepler-1634,b,CYG
Kepler-1636,b,CYG
Kepler-1638,b,CYG
Kepler-1640,b,CYG
Kepler-1641,b,CYG
Kepler-1641,c,CYG
Kepler-1642,b,CYG
Kepler-1642,c,CYG
Kepler-1643,b,CYG
Kepler-1645,b,CYG
Kepler-1647,b,CYG
Kepler-1649,b,CYG
Kepler-1650,b,CYG
Kepler-1652,b,CYG
Kepler-1653,b,CYG
Kepler-166,b,CYG
Kepler-166,c,CYG
Kepler-166,d,CYG
Kepler-167,b,CYG
Kepler-167,c,CYG
Kepler-167,d,CYG
Kepler-167,e,CYG
Kepler-168,b,CYG
Kepler-168,c,CYG
Kepler-17,b,CYG
Kepler-171,b,CYG
Kepler-171,c,CYG
Kepler-171,d,CYG
